 id,Group,Name,rows,cols,entries
2137,JGD_Kocay,Trec3,1,2,1
2758,Mycielski,mycielskian2,2,2,2
2138,JGD_Kocay,Trec4,2,3,3
1983,JGD_GL7d,GL7d10,1,60,8
2759,Mycielski,mycielskian3,5,5,10
2139,JGD_Kocay,Trec5,3,7,12
449,Grund,b1_ss,7,7,15
2009,JGD_Homology,ch3-3-b2,6,18,18
2172,JGD_Relat,rel3,12,5,18
904,vanHeukelum,cage3,5,5,19
715,LPnetlib,lpi_galenet,8,14,22
2179,JGD_Relat,relat3,12,5,24
719,LPnetlib,lpi_itest2,9,13,26
720,LPnetlib,lpi_itest6,11,17,29
1525,Pajek,Tina_AskCal,11,11,29
2085,JGD_Homology,n3c4-b1,15,6,30
2088,JGD_Homology,n3c4-b4,6,15,30
1526,Pajek,Tina_AskCog,11,11,36
2008,JGD_Homology,ch3-3-b1,18,9,36
1479,Pajek,GD01_b,18,18,37
2140,JGD_Kocay,Trec6,6,15,40
2760,Mycielski,mycielskian4,11,11,40
1527,Pajek,Tina_DisCal,11,11,41
1710,Meszaros,farm,7,17,41
1817,Meszaros,kleemin,8,16,44
1440,Oberwolfach,LFAT5,14,14,46
56,HB,bcsstm01,48,48,48
1528,Pajek,Tina_DisCog,11,11,48
905,vanHeukelum,cage4,9,9,49
185,HB,jgl009,9,9,50
1495,Pajek,GD98_a,38,38,50
1485,Pajek,GD95_a,36,36,57
2053,JGD_Homology,klein-b1,30,10,60
2054,JGD_Homology,klein-b2,20,30,60
2086,JGD_Homology,n3c4-b2,20,15,60
2087,JGD_Homology,n3c4-b3,15,20,60
1516,Pajek,Ragusa18,23,23,64
57,HB,bcsstm02,66,66,66
706,LPnetlib,lpi_bgprtr,20,40,70
2166,JGD_Margulies,wheel_3_1,21,25,74
186,HB,jgl011,11,11,76
238,HB,rgg010,10,10,76
1515,Pajek,Ragusa16,24,24,81
1438,Oberwolfach,LF10,18,18,82
1755,Meszaros,problem,12,46,86
1481,Pajek,GD02_a,23,23,87
1524,Pajek,Stranke94,10,10,90
2089,JGD_Homology,n3c5-b1,45,10,90
1486,Pajek,GD95_b,73,73,96
2012,JGD_Homology,ch4-4-b3,24,96,96
1199,Hamrle,Hamrle1,32,32,98
597,LPnetlib,lp_afiro,27,51,102
2173,JGD_Relat,rel4,66,12,104
58,HB,bcsstm03,112,112,112
1741,Meszaros,p0033,15,48,113
1474,Pajek,football,35,35,118
2109,JGD_Homology,n4c5-b11,10,120,120
1501,Pajek,GlossGT,72,72,122
2167,JGD_Margulies,wheel_4_1,36,41,122
168,HB,ibm32,32,32,126
13,HB,bcspwr01,39,39,131
59,HB,bcsstm04,132,132,132
1742,Meszaros,p0040,23,63,133
1480,Pajek,GD01_c,33,33,135
72,HB,bcsstm22,138,138,138
731,LPnetlib,lpi_woodinfe,35,89,140
2761,Mycielski,mycielskian5,23,23,142
2010,JGD_Homology,ch4-4-b1,72,16,144
2141,JGD_Kocay,Trec7,11,36,147
2203,JGD_Trefethen,Trefethen_20b,19,19,147
667,LPnetlib,lp_sc50b,50,78,148
464,Grund,d_ss,53,53,149
1499,Pajek,GD99_c,105,105,149
60,HB,bcsstm05,153,153,153
1759,Meszaros,refine,29,62,153
2399,Newman,karate,34,34,156
2204,JGD_Trefethen,Trefethen_20,20,20,158
97,HB,can_24,24,24,160
666,LPnetlib,lp_sc50a,50,78,160
14,HB,bcspwr02,49,49,167
1177,HB,lap_25,25,25,169
2180,JGD_Relat,relat4,66,12,172
232,HB,pores_1,30,30,180
2168,JGD_Margulies,wheel_5_1,57,61,182
1489,Pajek,GD96_b,111,111,193
1496,Pajek,GD98_b,121,121,207
2076,JGD_Homology,n2c6-b1,105,15,210
2097,JGD_Homology,n3c6-b1,105,105,210
2108,JGD_Homology,n4c5-b1,105,15,210
103,HB,can_62,62,62,218
133,HB,dwt_72,72,72,222
1460,Pajek,divorce,50,9,225
1491,Pajek,GD96_d,180,180,229
1482,Pajek,GD02_b,80,80,232
906,vanHeukelum,cage5,37,37,233
1884,NYPA,Maragal_1,32,14,234
462,Grund,d_dyn,87,87,238
463,Grund,d_dyn1,87,87,238
2095,JGD_Homology,n3c5-b7,30,120,240
714,LPnetlib,lpi_forest6,66,131,246
1519,Pajek,Sandi_authors,86,86,248
1490,Pajek,GD96_c,65,65,250
1965,JGD_G5,IG5-6,30,77,251
1498,Pajek,GD99_b,64,64,252
1920,JGD_BIBD,bibd_9_3,36,84,252
2149,JGD_Margulies,cat_ears_2_1,85,85,254
2170,JGD_Margulies,wheel_6_1,83,85,254
1493,Pajek,GD97_b,47,47,264
129,HB,dwt_59,59,59,267
436,FIDAP,ex5,27,27,279
274,HB,will57,57,57,281
1487,Pajek,GD95_c,62,62,287
2011,JGD_Homology,ch4-4-b2,96,72,288
109,HB,curtis54,54,54,291
262,HB,west0067,67,67,294
861,MathWorks,pivtol,102,102,306
872,Pothen,mesh1e1,48,48,306
873,Pothen,mesh1em1,48,48,306
874,Pothen,mesh1em6,48,48,306
172,HB,impcol_b,59,59,312
636,LPnetlib,lp_kb2,43,68,313
2396,Newman,dolphins,62,62,318
132,HB,dwt_66,66,66,320
2075,JGD_Homology,n2c6-b10,30,306,330
1492,Pajek,GD97_a,84,84,332
1497,Pajek,GD98_c,112,112,336
2171,JGD_Margulies,wheel_7_1,114,113,338
664,LPnetlib,lp_sc105,105,163,340
2457,DIMACS10,chesapeake,39,39,340
296,Bai,bfwb62,62,62,342
2090,JGD_Homology,n3c5-b2,120,45,360
264,HB,west0156,156,156,371
106,HB,can_73,73,73,377
1484,Pajek,GD06_theory,101,101,380
2155,JGD_Margulies,flower_4_1,121,129,386
318,Bai,olm100,100,100,396
337,Bai,tub100,100,100,396
317,Bai,odepb400,400,400,399
23,HB,bcsstk01,48,48,400
2013,JGD_Homology,ch5-5-b1,200,25,400
1675,Meszaros,gams10am,114,171,407
1711,Meszaros,gams10a,114,171,407
173,HB,impcol_c,137,137,411
263,HB,west0132,132,132,414
61,HB,bcsstm06,420,420,420
2045,JGD_Homology,cis-n4c6-b1,210,21,420
2120,JGD_Homology,n4c6-b1,210,21,420
161,HB,gre_115,115,115,421
596,LPnetlib,lp_adlittle,56,138,424
7,HB,ash219,219,85,438
